id_1,aperture_sum_1,annulus_median_1,aper_bkg_1,aper_err_1,aper_bkg_err_1,signal_1,noise_1,ra_1,dec_1,e_H,Hmag,id_2,aperture_sum_2,annulus_median_2,aper_bkg_2,aper_err_2,aper_bkg_err_2,signal_2,noise_2,ra_2,dec_2,e_j,Jmag,Separation_1,id,aperture_sum,annulus_median,aper_bkg,aper_err,aper_bkg_err,signal,noise,ra,dec,e_K,Kmag,Separation
173,19900.0,78.21,8845.0,141.1,97.55,11050.0,171.5,36.80417298469703,61.89323236646234,0.01552,17.08,63,4677.0,18.85,2902.0,68.39,69.5,1775.0,97.51,36.80431490508825,61.893237519128505,0.05494,18.95,0.2414132058872135,85,4419.0,-13.91,-1573.0,66.48,59.81,5992.0,89.42,36.8040474237221,61.893348695363585,0.01492,16.3,0.46981822357279446
174,2971000.0,486.1,54980.0,1724.0,1902.0,2916000.0,2567.0,36.80382656118038,61.86080849080541,8.804E-4,11.03,64,2825000.0,209.6,32260.0,1681.0,1092.0,2792000.0,2004.0,36.80389896349379,61.86078596546953,7.178E-4,10.95,0.14726345116923073,87,1788000.0,175.7,19870.0,1337.0,885.7,1768000.0,1604.0,36.80380542758561,61.86085874521092,9.071E-4,10.12,0.18443965694504172
179,25940.0,77.45,8759.0,161.1,65.89,17180.0,174.0,36.80353985796096,61.883752627547295,0.01013,16.6,65,7538.0,16.98,2613.0,86.82,50.18,4924.0,100.3,36.80369465186784,61.88375389409473,0.02036,17.84,0.2626541277967531,88,6767.0,-12.09,-1367.0,82.26,48.15,8134.0,95.32,36.80346422966764,61.88385803250801,0.01172,15.96,0.4005631173436479
180,26530.0,104.3,11800.0,162.9,194.2,14730.0,253.4,36.803158961847124,61.86174710225683,0.0172,16.77,66,10120.0,33.69,5187.0,100.6,166.3,4934.0,194.4,36.80331516594202,61.86173280268732,0.0394,17.83,0.2701476647829998,89,6399.0,3.68,416.2,79.99,137.6,5983.0,159.2,36.8031950530442,61.86181716325626,0.02661,16.3,0.25955588012117403
184,31620.0,93.07,10530.0,177.8,100.3,21090.0,204.1,36.80251175149534,61.85934843211822,0.009679,16.38,67,9790.0,28.45,4379.0,98.95,74.98,5412.0,124.1,36.80265519301258,61.85934754965634,0.02294,17.73,0.24356942678475665,93,9012.0,-4.098,-463.4,94.93,63.64,9475.0,114.3,36.80256790459545,61.85941523901165,0.01206,15.8,0.25871347469839995
187,21680.0,78.21,8845.0,147.2,82.98,12830.0,169.0,36.80200270019263,61.89330822487609,0.01317,16.92,68,5156.0,18.31,2819.0,71.81,65.2,2338.0,96.99,36.80216735306127,61.8933077020653,0.04149,18.65,0.2792598587534928,94,5823.0,-13.7,-1550.0,76.31,62.06,7373.0,98.36,36.801866925349515,61.89342511782092,0.01334,16.07,0.47969965284698163
189,57570.0,82.32,9310.0,239.9,72.46,48260.0,250.6,36.801696793135015,61.88260710127701,0.005193,15.48,69,9591.0,18.23,2806.0,97.94,53.76,6785.0,111.7,36.80185132632564,61.882610639417884,0.01647,17.49,0.262491251634123,96,43170.0,-8.048,-910.3,207.8,50.86,44080.0,213.9,36.8016286770681,61.88270644808496,0.004852,14.13,0.3758562935563757
192,20830.0,90.8,10270.0,144.3,91.32,10560.0,170.8,36.800720353179905,61.86170094670953,0.01617,17.13,70,8535.0,26.91,4143.0,92.39,68.57,4393.0,115.1,36.800870295462964,61.86169945433844,0.02619,17.96,0.25462347434083893,98,3415.0,-4.686,-530.0,58.44,53.29,3945.0,79.09,36.8007620976432,61.861768479155934,0.02005,16.75,0.2532363578985291
193,30470.0,75.91,8585.0,174.6,71.53,21880.0,188.6,36.80037020471674,61.8849496231644,0.00862,16.34,71,6478.0,17.4,2679.0,80.49,52.69,3799.0,96.2,36.800523790657415,61.8849475585639,0.02532,18.12,0.26066099657171565,99,11280.0,-11.7,-1324.0,106.2,45.46,12600.0,115.5,36.80029474730057,61.8850487560383,0.009166,15.49,0.37914260139521777
195,22120.0,92.46,10460.0,148.7,80.47,11660.0,169.1,36.800004700480315,61.860610655929676,0.0145,17.02,72,7575.0,25.57,3936.0,87.03,67.87,3638.0,110.4,36.800152021620136,61.86061593188553,0.03033,18.17,0.25084567683169157,100,4820.0,-4.994,-564.8,69.43,57.87,5385.0,90.38,36.800047251446436,61.860674954427054,0.01678,16.41,0.2424864690114073
200,53140.0,86.94,9833.0,230.5,77.85,43300.0,243.3,36.79937790632208,61.86457765137523,0.005619,15.6,73,14870.0,21.47,3306.0,121.9,51.21,11570.0,132.3,36.799524963303746,61.86457859545689,0.01144,16.91,0.24966790865776803,102,20850.0,-5.579,-631.0,144.4,49.06,21480.0,152.5,36.79940347455825,61.86464772849949,0.007099,14.91,0.2559843401290785
